Date Latitude Longitude M
18001011 36.8000 -121.5000 5.5
18001122 32.9000 -117.8000 6.3
18030000 34.2000 -118.1000 5.5
18030525 32.8000 -117.1000 5.5
18060325 34.4000 -119.7000 5.5
18080621 37.8000 -122.6000 5.5
18121208 34.3700 -117.6500 7.5
18121221 34.2000 -119.8000 7.1
18210101 34.5500 -119.8500 6.3
18270403 37.7000 -122.5000 5.5
18270924 34.0000 -119.0000 6.0
18300000 35.3500 -120.6500 6.0
18360610 36.9000 -121.5000 6.4
18380600 37.3000 -122.1500 7.4
18400118 36.8500 -121.5000 6.5
18410703 36.8000 -121.5000 6.2
18410729 36.8000 -121.4500 6.0
18521129 32.5000 -115.0000 6.5
18530201 35.7000 -121.1000 5.5
18530902 36.4000 -121.0000 6.4
18531023 40.8000 -124.2000 5.5
18550114 36.1500 -120.7000 5.5
18550125 39.5000 -120.3000 6.0
18550711 34.1000 -118.1000 6.0
18550827 38.1000 -122.5000 5.5
18560102 37.3000 -122.5000 5.7
18560215 37.5000 -122.3000 5.9
18560921 33.1000 -116.7000 5.5
18570109 36.2900 -120.8500 5.6
18570109 36.1000 -120.6500 6.1
18570109 35.3000 -119.8000 7.9
18570110 34.7600 -118.7100 5.6
18570116 34.5200 -118.0400 6.3
18570903 39.3000 -120.0000 6.3
18581126 37.5000 -121.8000 6.2
18581216 34.2000 -117.4000 6.0
18600315 39.5000 -119.5000 6.5
18600417 36.3500 -120.9500 6.0
18601113 40.8000 -124.2000 5.5
18610704 37.7500 -121.9500 5.8
18620527 32.5500 -117.1500 6.2
18630625 32.4000 -117.1000 5.8
18640226 37.2000 -121.6000 6.1
18640305 37.5528 -121.8550 6.0
18640521 37.6000 -121.9000 5.8
18650524 37.1000 -121.8000 5.9
18651001 40.8000 -124.2000 5.5
18651008 37.2000 -121.9000 6.6
18660326 37.0000 -121.7000 5.8
18660715 37.7000 -121.5000 6.0
18680530 39.3000 -119.7000 6.0
18680917 38.6000 -119.7000 5.6
18681021 37.7000 -122.1000 7.0
18691008 39.1000 -123.1000 5.6
18691227 39.4000 -119.7000 6.4
18691227 39.1000 -119.8000 6.2
18700217 37.1000 -122.0000 5.9
18700402 37.9000 -122.3000 5.8
18710302 40.4000 -124.2000 6.3
18710705 36.4000 -118.0000 5.5
18720326 36.9000 -118.2000 6.8
18720326 36.7000 -118.1000 7.4
18720403 37.0000 -118.2000 6.3
18720411 37.5000 -118.5000 6.8
18720503 33.0000 -115.0000 5.8
18731123 42.0000 -124.0000 6.9
18750124 40.2000 -120.5000 6.2
18750930 40.7000 -124.0000 5.9
18751115 32.5000 -115.5000 6.2
18770530 35.7000 -120.3000 5.5
18770710 39.0000 -120.0000 5.5
18780509 40.4000 -125.2000 7.0
18800412 34.7000 -118.2000 5.9
18801122 34.0000 -117.0000 5.5
18801219 34.0000 -117.0000 5.9
18810107 40.0000 -122.0000 5.6
18810202 36.1000 -120.6000 6.0
18810410 37.4000 -121.4000 6.3
18820306 36.5000 -121.1000 5.9
18820627 37.1000 -121.9000 5.8
18830330 36.8000 -121.5000 6.0
18830905 34.7000 -119.2000 6.3
18840128 41.1001 -123.6000 6.1
18840326 37.0000 -122.2500 5.9
18850131 40.4000 -120.6000 6.1
18850331 36.7000 -121.2000 5.7
18850402 36.6000 -121.1000 5.9
18850412 36.2000 -120.8000 6.5
18850913 33.3000 -116.9000 5.8
18870603 39.2000 -119.8000 6.5
18880218 39.2000 -123.6000 5.5
18880429 39.7000 -120.7000 6.2
18890207 34.1000 -116.7000 5.6
18890415 36.9500 -121.4000 5.5
18890519 38.1000 -121.8000 6.0
18890620 40.5000 -120.7000 6.2
18890731 37.8000 -122.2000 5.6
18890828 34.2000 -117.9000 5.6
18890930 37.2000 -118.7000 6.0
18900209 33.4000 -116.3000 6.8
18900424 36.9000 -121.6000 6.3
18900726 40.5000 -124.2000 6.3
18910102 37.3000 -121.8000 5.8
18910730 32.0000 -115.0000 6.0
18911012 38.3000 -122.4000 5.9
18920224 32.5500 -115.6500 7.3
18920419 38.4000 -122.0000 6.6
18920421 38.5000 -121.9000 6.4
18920430 38.4000 -121.8000 5.6
18920528 33.2000 -116.2000 6.5
18920614 34.2000 -117.5000 5.5
18921113 36.7500 -121.4000 5.9
18930404 34.3000 -118.6000 5.8
18930519 34.1000 -119.4000 5.8
18930809 38.4000 -122.7000 5.6
18940730 34.3000 -117.6000 6.2
18940930 40.3000 -124.5000 6.5
18941023 32.8000 -116.8000 6.1
18960817 36.7000 -118.3000 6.3
18970620 37.0000 -121.5000 6.4
18980331 38.2000 -122.5000 6.4
18980415 39.2000 -123.8000 6.7
18990416 41.0000 -125.8000 7.0
18990430 36.8500 -121.6000 6.0
18990602 37.7000 -122.5000 5.6
18990706 36.9000 -121.4000 5.8
18990722 34.3000 -117.5000 6.4
18990722 34.2000 -117.4000 5.9
18991225 33.8000 -117.0000 6.7
19010303 36.0000 -120.5000 6.4
19020519 38.3000 -122.0000 5.5
19020728 34.8000 -120.4000 5.8
19020731 34.7000 -120.3000 5.8
19030124 31.5000 -115.0000 6.6
19030325 36.1000 -121.6000 5.9
19030611 37.2000 -121.8000 6.1
19030803 37.3000 -121.8000 6.2
19050526 36.5000 -120.6000 6.1
19051223 35.3000 -118.8000 5.8
19060418 37.7000 -122.5000 7.8
19060419 32.9000 -115.5000 6.2
19060423 41.0000 -124.5000 6.4
19061207 35.5000 -121.2000 5.7
19070811 40.5000 -125.5000 6.4
19070920 34.2000 -117.1000 5.8
19080427 35.6000 -120.2000 5.5
19080818 40.8000 -124.0000 5.8
19081104 36.0000 -117.0000 6.0
19090623 39.5000 -121.0000 5.9
19091029 40.5000 -124.2000 6.0
19100311 36.9500 -121.7000 5.8
19100319 40.0000 -125.0000 6.0
19100411 33.5000 -116.5000 5.8
19100506 37.3300 -118.4200 6.0
19100515 33.7000 -117.4000 6.0
19101231 36.8000 -122.1000 5.7
19110701 37.2500 -121.7500 6.4
19120105 37.3300 -118.4200 5.5
19140218 39.5000 -119.8000 5.6
19140424 39.5000 -119.8000 6.0
19150112 34.6000 -120.2000 5.7
19150623 32.8000 -115.5000 6.0
19150623 32.8000 -115.5000 5.9
19151121 32.0000 -115.0000 6.6
19160806 36.6700 -121.2500 5.8
19160930 33.2000 -116.1000 5.7
19161023 34.8500 -119.0000 5.5
19161110 35.3000 -116.7000 5.9
19170528 32.8000 -115.3000 5.5
19180421 33.7500 -117.0000 6.8
19180501 32.6000 -115.4000 5.6
19180606 33.6000 -116.7000 5.5
19180715 41.0000 -125.0000 6.5
19190216 34.9000 -119.2000 5.7
19191001 32.6000 -115.0000 5.9
19210908 32.4000 -115.5000 5.5
19220131 41.0000 -125.5000 7.3
19220310 35.7500 -120.2500 6.0
19220818 35.7500 -120.2500 5.5
19230122 40.4000 -124.9000 7.2
19230723 34.0000 -117.2500 6.2
19231107 32.5000 -115.5000 5.5
19250604 41.5000 -125.0000 6.0
19250629 34.3000 -119.8000 6.8
19260218 34.3000 -119.5000 5.5
19260403 34.0000 -116.0000 5.5
19260629 34.5000 -119.5000 5.5
19260630 35.8000 -118.4000 5.7
19260725 36.5000 -120.4000 5.8
19261022 36.5500 -122.1800 6.1
19261022 36.5300 -122.2000 6.1
19261024 37.0200 -122.2100 5.8
19261227 36.4000 -120.4000 5.5
19270101 32.5000 -115.5000 5.8
19270101 32.5000 -115.5000 5.5
19270215 36.9500 -122.2700 5.9
19270918 37.5000 -118.7500 5.5
19271104 34.6000 -120.9000 7.1
19280415 39.8000 -122.6500 5.5
19280905 35.0000 -117.0000 5.5
19281002 33.6000 -116.7000 5.5
19291128 36.9000 -118.1900 5.5
19300116 34.2000 -116.9000 5.5
19300923 40.9500 -124.2000 5.5
19301211 40.4000 -124.8000 5.5
19310310 40.0000 -125.0000 5.6
19310909 40.8000 -125.0000 5.8
